c0,c1,c2,c3,c4,c5,c6,c7
1.0,10.0,0.01,17.551288684957637,1.0,1.3767209689787263,0.10898326267203641,0.004528352590292958
1.0,10.0,0.01,20.35044267076603,1.0,1.4526306129235529,0.13268856227153913,0.006098179212330524
1.0,10.0,0.01,15.037732045852982,1.0,1.5977698017195143,0.12401009475666344,0.006309182807589655
1.0,10.0,0.01,14.81195301427387,1.0,1.388488483463049,0.16158532239571047,0.005749806468896337
1.0,10.0,0.01,8.522854672677397,1.0,1.3860670636452737,0.21464054137806546,0.006283808083499592
1.0,10.0,0.01,9.76257028212211,1.0,1.1936138951292574,0.23943648252822589,0.005060069595262448
1.0,10.0,0.01,12.983278487497383,1.0,1.3004834288472806,0.26873602599392693,0.004031757836900779
1.0,10.0,0.01,10.20527083713703,1.0,1.6461804285058559,0.32869440648640524,0.004964281788284153
1.0,10.0,0.01,10.20527083713703,1.0,1.6461804285058559,0.32869440648640524,0.004964281788284153
1.0,10.0,0.01,10.20527083713703,1.0,1.6461804285058559,0.32869440648640524,0.004964281788284153
1.0,10.0,0.01,10.20527083713703,1.0,1.6461804285058559,0.32869440648640524,0.004964281788284153
1.0,10.0,0.01,9.690191960478442,1.0,1.582705364577272,0.30628223788987025,0.004614727170447484
1.0,10.0,0.01,9.690191960478442,1.0,1.582705364577272,0.30628223788987025,0.004614727170447484
1.0,10.0,0.01,9.979364557321595,1.0,1.5632150089425085,0.2876057607544547,0.004845095515353669
1.0,10.0,0.01,9.979364557321595,1.0,1.5632150089425085,0.2876057607544547,0.004845095515353669
1.0,10.0,0.01,11.317958808844105,1.0,1.7300250961266037,0.2918970039794071,0.0048852734841140655
1.0,10.0,0.01,15.39861177987681,1.0,1.194611399274165,0.2840730555569556,0.0057400342993498485
1.0,10.0,0.01,15.121313947076205,1.0,1.367354698696388,0.32008512243016,0.004631915546634102
1.0,10.0,0.01,14.558835232132665,1.0,1.4425329072795114,0.290737349904305,0.004876787332670405
1.0,10.0,0.01,19.9972635181651,1.0,1.42488109539697,0.2356835049496844,0.005287585949989348
1.0,10.0,0.01,16.711192131748607,1.0,1.481267414663496,0.19587346468841263,0.005541942354450517
1.0,10.0,0.01,16.711192131748607,1.0,1.481267414663496,0.19587346468841263,0.005541942354450517
1.0,10.0,0.01,18.809975859420835,1.0,1.3667631327336653,0.16906071884946405,0.0051566148951921855
1.0,10.0,0.01,17.574482481866497,1.0,1.3246082194229576,0.22358059600569824,0.004164040770642781
1.0,10.0,0.01,25.96782065952262,1.0,1.2343772283756587,0.21085571125206723,0.004080967948978013
1.0,10.0,0.01,32.44217125470235,1.0,1.6266758970862505,0.19629811690903953,0.0028214802595271605
1.0,10.0,0.01,30.293736190363568,1.0,1.521827003162409,0.191428901025666,0.0029168129786436648
1.0,10.0,0.01,24.144084845238773,1.0,1.0970471331880847,0.18456740142793765,0.0035929343786814546
1.0,10.0,0.01,32.707881313682705,1.0,1.305229747364565,0.3572858980378781,0.0037000940114392694
1.0,10.0,0.01,30.966689378694646,1.0,1.3529128423560888,0.300546372120389,0.003773381993827918
1.0,10.0,0.01,32.235012063136196,1.0,1.36611641939748,0.3397901035357241,0.003612445554706521
1.0,10.0,0.01,40.98421358710747,1.0,1.5418127677364104,0.15383709992529884,0.0049329734773812415
1.0,10.0,0.01,45.31668969454423,1.0,1.4480471832351318,0.11535356954868055,0.004149546524904428
1.0,10.0,0.01,35.18242562880416,1.0,1.5030553028985318,0.11460851848192014,0.004206497321822694
1.0,10.0,0.01,35.2342887498125,1.0,1.441334668459385,0.12288300965703589,0.005418830961708123
1.0,10.0,0.01,35.2342887498125,1.0,1.441334668459385,0.12288300965703589,0.005418830961708123
1.0,10.0,0.01,26.08305484205393,1.0,1.6536865748761946,0.10328832288961672,0.006318120242658127
1.0,10.0,0.01,35.12653734524635,1.0,1.4273831156644454,0.10074819838712089,0.007457907380691776
1.0,10.0,0.01,38.14685986054283,1.0,1.3058391234351947,0.09806040064622412,0.006706875738146706
1.0,10.0,0.01,31.903465741348068,1.0,1.1910663933436216,0.10565278317844319,0.007908849148676839
1.0,10.0,0.01,30.688486218385947,1.0,1.4141487911498714,0.12501376219250265,0.007772293281790195
1.0,10.0,0.01,23.6873967421407,1.0,0.9983395146229855,0.13812075159162818,0.005916072774488436
1.0,10.0,0.01,25.245110268294066,1.0,0.9506570424285294,0.1447198198248586,0.005747625361290672
1.0,10.0,0.01,24.78409999167537,1.0,1.3265299278864382,0.1263476900391794,0.006987380989342955
1.0,10.0,0.01,18.75913094590701,1.0,1.4105479966922305,0.07461720651165765,0.0044426168067991136
1.0,10.0,0.01,13.811408687359261,1.0,1.4958533038025739,0.08275756756804745,0.004745754710528531
1.0,10.0,0.01,18.54964054180033,1.0,1.3957570985015781,0.0908334887902001,0.0037844554934040944
1.0,10.0,0.01,22.40710403575086,1.0,1.7661321968709711,0.11913258262174546,0.0035279877389907768
1.0,10.0,0.01,24.42042077915524,1.0,1.5359818288975684,0.13283901473920096,0.003329359001622297
1.0,10.0,0.01,23.59911334279021,1.0,1.4801361910928574,0.14349833208457624,0.003355128907131185
1.0,10.0,0.01,37.247236491747024,1.0,1.452856147529892,0.1902033669630396,0.003716985071357984
1.0,10.0,0.01,48.37329565792214,1.0,1.9014514042058646,0.25729567782275836,0.0027607239428841753
1.0,10.0,0.01,41.34250796634405,1.0,1.958930866552384,0.3286308420151569,0.0028594162515473967
1.0,10.0,0.01,37.4473476281911,1.0,1.7295416705132738,0.438384225380739,0.002896908640954664
